tag,x,y,z
en:Stoner_rock,18.92653,5.4818726,-2.429703
es:Hip_hop_soul,-24.733915,7.530834,-4.73341
es:Breakbeat,-11.520372,10.198359,-14.71151
nl:Groovemetal,6.582006,18.09698,-12.509251
cs:New_Age,-13.554271,-7.27048,1.4399652
en:Anarcho-punk,18.492043,2.1977262,-14.438103
en:Extreme_metal,13.457509,25.239244,-1.3185111
fr:Folk,10.462101,-15.05769,12.124622
es:Turbo-folk,9.013712,-13.100977,14.932607
es:Rocksteady,-21.401278,0.7378681,11.942184
ja:シンフォニックメタル,5.760398,24.951366,11.316338
fr:New_age,-13.980284,-7.2874136,0.7465983
en:Comedy_music,3.6516082,-5.4099216,1.6106573
nl:Elektronische_muziek,-4.2973714,-1.7635741,-7.7168455
en:Funk_music,-11.041511,21.353212,8.763293
es:Música_instrumental,-7.197826,8.848233,-2.0258715
en:Madchester,16.318523,-9.556616,-13.669467
nl:Easy_listening,-21.705511,-7.182514,-4.3945417
es:Folk-rock,12.545785,-13.525777,14.448723
en:Gothic_metal,29.542048,8.772761,-2.4543972
fr:Ska_punk,26.339231,-6.9486814,-8.666363
fr:Musique_de_film,-2.5321596,-5.6227746,2.073346
es:Rock_gótico,27.662542,6.654054,-5.5852456
en:Rock_Music,13.90697,-1.0249093,5.681419
es:Dance_rock,-9.055274,-10.046787,-10.592074
es:Viking_metal,16.984797,24.37681,6.8585258
en:Blues-rock,6.887168,4.7982492,21.345644
fr:Metalcore,10.857239,17.102938,-18.041973
nl:Shoegaze,8.722014,-4.608242,-8.38056
fr:Pop_latino,-8.411719,-16.057587,16.812906
en:Post-metal,9.692863,23.763418,-1.8076818
en:Cool_jazz,-14.662984,12.022741,11.602354
en:Crust_punk,13.354541,7.5857525,-15.439802
nl:Moderne_r&b,-17.201296,-3.12798,4.785153
cs:Dance-punk,16.350712,-6.263914,-20.364357
es:New_wave,4.5405636,-4.486848,-17.842638
fr:Ambient,-4.9835544,4.122096,-16.107622
ja:アニメソング,-6.1489787,-15.28725,3.025706
es:Horrorcore,-16.061998,17.90295,-5.507161
fr:Post_rock,7.8468614,0.9677398,-6.233642
es:Música_tradicional,4.4237986,-17.012884,13.54813
es:Electropop,-6.566513,-4.3283014,-25.118662
nl:Krautrock,12.773094,0.991619,-8.760445
fr:Gabber,-12.092261,6.335123,-20.319382
en:Underground_hip_hop,-27.947636,12.373038,-3.6021225
cs:Jazz,-8.420729,9.574295,10.739284
en:Rocksteady,-21.397251,0.74183786,11.936632
es:EDM,-8.933767,-9.051469,-11.6962
en:Roots_reggae,-24.055386,-1.170881,16.74011
en:New_rave,0.32947022,-7.278858,-16.139841
fr:Black_metal,12.439611,18.310799,-0.7422884
fr:Garage_rock,5.932796,-9.990593,-31.427738
es:Música_Rock,11.099853,-2.9737937,6.2344575
ja:シンフォニックブラックメタル,8.054495,23.605268,10.4528885
es:Hip_Hop,-22.632957,10.744485,-5.375472
es:Latin_pop,-7.667004,-14.8249235,18.648655
ja:ニュー・メタル,4.201012,19.651781,-0.14523222
es:Rhythm_&_Blues,-15.469173,0.30036613,11.219756
fr:Chicano_rap,-21.993828,16.876766,-0.9999521
ja:インディーロック,13.878929,-24.466074,1.1430874
en:Symphonic_metal,3.8153348,25.280056,10.23539
es:Bop,-2.8249047,17.119022,20.602772
en:Freak_folk,12.088568,-16.043036,15.169992
ja:フォークロック,11.183461,-13.1895685,14.575383
en:Raï,-14.887335,-4.7328434,10.563927
en:Glitch_music,-11.914863,-4.386365,-6.5779576
ja:アイドル歌謡,-4.052773,-16.335922,-2.8247428
es:Black_metal_sinfónico,7.3634315,23.566698,9.769612
es:Post-hardcore,9.596026,8.546763,-22.713951
fr:Gothic_metal,27.9028,10.109158,-2.0396633
en:Punk_blues,9.824255,4.2659554,23.895962
en:Worldbeat,-14.733121,16.546148,5.056345
nl:Dubstep,-14.217795,6.6840725,-14.148557
cs:Folk,9.318282,-16.24559,12.820863
es:Reggae_rock,-24.57179,-3.1251597,14.617569
en:Melodic_hardcore,12.422927,11.29966,-22.910646
nl:Post-rock,6.9984784,1.3587452,-5.807665
